"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","[2016-07-21 14:00:00,2016-07-21 15:00:00)","97.02"
"B","3","[2016-07-21 15:00:00,2016-07-21 16:00:00)","100.81"
"B","3","[2016-07-21 16:00:00,2016-07-21 17:00:00)","117.5"
"B","3","[2016-07-21 17:00:00,2016-07-21 18:00:00)","120.66"
"B","3","[2016-07-21 18:00:00,2016-07-21 19:00:00)","132.03"
"B","3","[2016-07-21 19:00:00,2016-07-21 20:00:00)","106.23"
"B","3","[2016-07-21 20:00:00,2016-07-21 21:00:00)","112.25"
"B","3","[2016-07-21 21:00:00,2016-07-21 22:00:00)","93.92"
"B","3","[2016-07-21 22:00:00,2016-07-21 23:00:00)","113.6"
"B","3","[2016-07-21 23:00:00,2016-07-22 00:00:00)","129.72"
"B","3","[2016-07-22 01:00:00,2016-07-22 02:00:00)","165.66"
"B","3","[2016-07-22 03:00:00,2016-07-22 04:00:00)","12.75"
"B","3","[2016-07-22 04:00:00,2016-07-22 05:00:00)","195.47"
"B","3","[2016-07-22 05:00:00,2016-07-22 06:00:00)","148.78"
"B","3","[2016-07-22 06:00:00,2016-07-22 07:00:00)","102.56"
"B","3","[2016-07-22 07:00:00,2016-07-22 08:00:00)","115.9"
"B","3","[2016-07-22 08:00:00,2016-07-22 09:00:00)","135.69"
"B","3","[2016-07-22 09:00:00,2016-07-22 10:00:00)","143.49"
"B","3","[2016-07-22 10:00:00,2016-07-22 11:00:00)","174.49"
"B","3","[2016-07-22 11:00:00,2016-07-22 12:00:00)","99.62"
"B","3","[2016-07-22 12:00:00,2016-07-22 13:00:00)","161.84"
"B","3","[2016-07-22 13:00:00,2016-07-22 14:00:00)","85.04"
"B","3","[2016-07-22 14:00:00,2016-07-22 15:00:00)","117.37"
"B","3","[2016-07-22 15:00:00,2016-07-22 16:00:00)","109.35"
"B","3","[2016-07-22 16:00:00,2016-07-22 17:00:00)","108.31"
"B","3","[2016-07-22 17:00:00,2016-07-22 18:00:00)","150.32"
"B","3","[2016-07-22 18:00:00,2016-07-22 19:00:00)","92.66"
"B","3","[2016-07-22 19:00:00,2016-07-22 20:00:00)","116.28"
"B","3","[2016-07-22 20:00:00,2016-07-22 21:00:00)","127.1"
"B","3","[2016-07-22 21:00:00,2016-07-22 22:00:00)","122.25"
"B","3","[2016-07-22 22:00:00,2016-07-22 23:00:00)","110.98"
"B","3","[2016-07-22 23:00:00,2016-07-23 00:00:00)","117.77"
"B","3","[2016-07-23 00:00:00,2016-07-23 01:00:00)","133.0"
"B","3","[2016-07-23 01:00:00,2016-07-23 02:00:00)","144.76"
"B","3","[2016-07-23 02:00:00,2016-07-23 03:00:00)","140.77"
"B","3","[2016-07-23 03:00:00,2016-07-23 04:00:00)","115.58"
"B","3","[2016-07-23 04:00:00,2016-07-23 05:00:00)","133.78"
"B","3","[2016-07-23 05:00:00,2016-07-23 06:00:00)","162.52"
"B","3","[2016-07-23 06:00:00,2016-07-23 07:00:00)","87.47"
"B","3","[2016-07-23 07:00:00,2016-07-23 08:00:00)","101.09"
"B","3","[2016-07-23 08:00:00,2016-07-23 09:00:00)","111.33"
"B","3","[2016-07-23 09:00:00,2016-07-23 10:00:00)","149.04"
"B","3","[2016-07-23 10:00:00,2016-07-23 11:00:00)","128.12"
"B","3","[2016-07-23 11:00:00,2016-07-23 12:00:00)","124.3"
"B","3","[2016-07-23 12:00:00,2016-07-23 13:00:00)","94.26"
"B","3","[2016-07-23 13:00:00,2016-07-23 14:00:00)","121.69"
"B","3","[2016-07-23 14:00:00,2016-07-23 15:00:00)","126.35"
"B","3","[2016-07-23 15:00:00,2016-07-23 16:00:00)","117.56"
"B","3","[2016-07-23 16:00:00,2016-07-23 17:00:00)","140.02"
"B","3","[2016-07-23 17:00:00,2016-07-23 18:00:00)","121.19"
"B","3","[2016-07-23 18:00:00,2016-07-23 19:00:00)","125.79"
"B","3","[2016-07-23 19:00:00,2016-07-23 20:00:00)","139.07"
"B","3","[2016-07-23 20:00:00,2016-07-23 21:00:00)","113.22"
"B","3","[2016-07-23 21:00:00,2016-07-23 22:00:00)","116.57"
"B","3","[2016-07-23 22:00:00,2016-07-23 23:00:00)","105.11"
"B","3","[2016-07-23 23:00:00,2016-07-24 00:00:00)","122.96"
"B","3","[2016-07-24 00:00:00,2016-07-24 01:00:00)","111.58"
"B","3","[2016-07-24 01:00:00,2016-07-24 02:00:00)","145.82"
"B","3","[2016-07-24 02:00:00,2016-07-24 03:00:00)","98.19"
"B","3","[2016-07-24 03:00:00,2016-07-24 04:00:00)","100.47"
"B","3","[2016-07-24 04:00:00,2016-07-24 05:00:00)","113.91"
"B","3","[2016-07-24 05:00:00,2016-07-24 06:00:00)","121.83"
"B","3","[2016-07-24 06:00:00,2016-07-24 07:00:00)","113.52"
"B","3","[2016-07-24 07:00:00,2016-07-24 08:00:00)","108.73"
"B","3","[2016-07-24 08:00:00,2016-07-24 09:00:00)","100.58"
"B","3","[2016-07-24 09:00:00,2016-07-24 10:00:00)","121.38"
"B","3","[2016-07-24 10:00:00,2016-07-24 11:00:00)","157.9"
"B","3","[2016-07-24 11:00:00,2016-07-24 12:00:00)","142.97"
"B","3","[2016-07-24 12:00:00,2016-07-24 13:00:00)","97.47"
"B","3","[2016-07-24 13:00:00,2016-07-24 14:00:00)","117.66"
"B","3","[2016-07-24 14:00:00,2016-07-24 15:00:00)","143.51"
"B","3","[2016-07-24 15:00:00,2016-07-24 16:00:00)","133.69"
"B","3","[2016-07-24 16:00:00,2016-07-24 17:00:00)","123.95"
"B","3","[2016-07-24 17:00:00,2016-07-24 18:00:00)","187.93"
"B","3","[2016-07-24 18:00:00,2016-07-24 19:00:00)","108.39"
"B","3","[2016-07-24 19:00:00,2016-07-24 20:00:00)","114.92"
"B","3","[2016-07-24 20:00:00,2016-07-24 21:00:00)","120.29"
"B","3","[2016-07-24 21:00:00,2016-07-24 22:00:00)","101.39"
"B","3","[2016-07-24 22:00:00,2016-07-24 23:00:00)","111.73"
"B","3","[2016-07-24 23:00:00,2016-07-25 00:00:00)","101.27"
"B","3","[2016-07-25 00:00:00,2016-07-25 01:00:00)","102.15"
"B","3","[2016-07-25 01:00:00,2016-07-25 02:00:00)","88.85"
"B","3","[2016-07-25 02:00:00,2016-07-25 03:00:00)","84.53"
"B","3","[2016-07-25 04:00:00,2016-07-25 05:00:00)","157.82"
"B","3","[2016-07-25 05:00:00,2016-07-25 06:00:00)","135.71"
"B","3","[2016-07-25 06:00:00,2016-07-25 07:00:00)","95.67"
"B","3","[2016-07-25 07:00:00,2016-07-25 08:00:00)","157.48"
"B","3","[2016-07-25 08:00:00,2016-07-25 09:00:00)","126.3"
"B","3","[2016-07-25 09:00:00,2016-07-25 10:00:00)","155.28"
"B","3","[2016-07-25 10:00:00,2016-07-25 11:00:00)","133.35"
"B","3","[2016-07-25 11:00:00,2016-07-25 12:00:00)","85.95"
"B","3","[2016-07-25 12:00:00,2016-07-25 13:00:00)","111.61"
"B","3","[2016-07-25 13:00:00,2016-07-25 14:00:00)","110.07"
"B","3","[2016-07-25 14:00:00,2016-07-25 15:00:00)","131.04"
"B","3","[2016-07-25 15:00:00,2016-07-25 16:00:00)","102.15"
"B","3","[2016-07-25 16:00:00,2016-07-25 17:00:00)","131.78"
"B","3","[2016-07-25 17:00:00,2016-07-25 18:00:00)","122.57"
"B","3","[2016-07-25 18:00:00,2016-07-25 19:00:00)","139.62"
"B","3","[2016-07-25 19:00:00,2016-07-25 20:00:00)","96.51"
"B","3","[2016-07-25 20:00:00,2016-07-25 21:00:00)","138.36"
"B","3","[2016-07-25 21:00:00,2016-07-25 22:00:00)","144.29"
"B","3","[2016-07-25 22:00:00,2016-07-25 23:00:00)","70.81"
"B","3","[2016-07-25 23:00:00,2016-07-26 00:00:00)","162.56"
"B","3","[2016-07-26 00:00:00,2016-07-26 01:00:00)","47.09"
"B","3","[2016-07-26 01:00:00,2016-07-26 02:00:00)","112.9"
"B","3","[2016-07-26 02:00:00,2016-07-26 03:00:00)","83.03"
"B","3","[2016-07-26 03:00:00,2016-07-26 04:00:00)","173.58"
"B","3","[2016-07-26 04:00:00,2016-07-26 05:00:00)","62.67"
"B","3","[2016-07-26 05:00:00,2016-07-26 06:00:00)","128.22"
"B","3","[2016-07-26 06:00:00,2016-07-26 07:00:00)","74.75"
"B","3","[2016-07-26 07:00:00,2016-07-26 08:00:00)","97.09"
"B","3","[2016-07-26 08:00:00,2016-07-26 09:00:00)","126.88"
"B","3","[2016-07-26 09:00:00,2016-07-26 10:00:00)","115.87"
"B","3","[2016-07-26 10:00:00,2016-07-26 11:00:00)","127.05"
"B","3","[2016-07-26 11:00:00,2016-07-26 12:00:00)","93.35"
"B","3","[2016-07-26 12:00:00,2016-07-26 13:00:00)","103.69"
"B","3","[2016-07-26 13:00:00,2016-07-26 14:00:00)","105.5"
"B","3","[2016-07-26 14:00:00,2016-07-26 15:00:00)","125.18"
"B","3","[2016-07-26 15:00:00,2016-07-26 16:00:00)","98.69"
"B","3","[2016-07-26 16:00:00,2016-07-26 17:00:00)","110.43"
"B","3","[2016-07-26 17:00:00,2016-07-26 18:00:00)","115.25"
"B","3","[2016-07-26 18:00:00,2016-07-26 19:00:00)","130.03"
"B","3","[2016-07-26 19:00:00,2016-07-26 20:00:00)","115.61"
"B","3","[2016-07-26 20:00:00,2016-07-26 21:00:00)","112.12"
"B","3","[2016-07-26 21:00:00,2016-07-26 22:00:00)","115.36"
"B","3","[2016-07-26 22:00:00,2016-07-26 23:00:00)","105.03"
"B","3","[2016-07-26 23:00:00,2016-07-27 00:00:00)","193.5"
"B","3","[2016-07-27 01:00:00,2016-07-27 02:00:00)","135.79"
"B","3","[2016-07-27 03:00:00,2016-07-27 04:00:00)","63.54"
"B","3","[2016-07-27 05:00:00,2016-07-27 06:00:00)","126.2"
"B","3","[2016-07-27 06:00:00,2016-07-27 07:00:00)","124.95"
"B","3","[2016-07-27 07:00:00,2016-07-27 08:00:00)","98.53"
"B","3","[2016-07-27 08:00:00,2016-07-27 09:00:00)","100.34"
"B","3","[2016-07-27 09:00:00,2016-07-27 10:00:00)","102.38"
"B","3","[2016-07-27 10:00:00,2016-07-27 11:00:00)","124.37"
"B","3","[2016-07-27 11:00:00,2016-07-27 12:00:00)","117.61"
"B","3","[2016-07-27 12:00:00,2016-07-27 13:00:00)","100.97"
"B","3","[2016-07-27 13:00:00,2016-07-27 14:00:00)","132.6"
"B","3","[2016-07-27 14:00:00,2016-07-27 15:00:00)","124.27"
"B","3","[2016-07-27 15:00:00,2016-07-27 16:00:00)","99.22"
"B","3","[2016-07-27 16:00:00,2016-07-27 17:00:00)","103.68"
"B","3","[2016-07-27 17:00:00,2016-07-27 18:00:00)","121.57"
"B","3","[2016-07-27 18:00:00,2016-07-27 19:00:00)","100.63"
"B","3","[2016-07-27 19:00:00,2016-07-27 20:00:00)","204.82"
"B","3","[2016-07-27 20:00:00,2016-07-27 21:00:00)","145.04"
"B","3","[2016-07-27 21:00:00,2016-07-27 22:00:00)","102.87"
"B","3","[2016-07-27 22:00:00,2016-07-27 23:00:00)","107.22"
"B","3","[2016-07-27 23:00:00,2016-07-28 00:00:00)","140.51"
"B","3","[2016-07-28 00:00:00,2016-07-28 01:00:00)","108.97"
"B","3","[2016-07-28 01:00:00,2016-07-28 02:00:00)","109.36"
"B","3","[2016-07-28 02:00:00,2016-07-28 03:00:00)","120.56"
"B","3","[2016-07-28 03:00:00,2016-07-28 04:00:00)","110.02"
"B","3","[2016-07-28 04:00:00,2016-07-28 05:00:00)","139.35"
"B","3","[2016-07-28 06:00:00,2016-07-28 07:00:00)","146.14"
"B","3","[2016-07-28 07:00:00,2016-07-28 08:00:00)","145.81"
"B","3","[2016-07-28 08:00:00,2016-07-28 09:00:00)","143.53"
"B","3","[2016-07-28 09:00:00,2016-07-28 10:00:00)","235.51"
"B","3","[2016-07-28 10:00:00,2016-07-28 11:00:00)","153.03"
"B","3","[2016-07-28 11:00:00,2016-07-28 12:00:00)","125.64"
"B","3","[2016-07-28 12:00:00,2016-07-28 13:00:00)","149.0"
"B","3","[2016-07-28 13:00:00,2016-07-28 14:00:00)","115.45"
"B","3","[2016-07-28 14:00:00,2016-07-28 15:00:00)","138.54"
"B","3","[2016-07-28 15:00:00,2016-07-28 16:00:00)","171.63"
"B","3","[2016-07-28 16:00:00,2016-07-28 17:00:00)","134.9"
"B","3","[2016-07-28 17:00:00,2016-07-28 18:00:00)","148.14"
"B","3","[2016-07-28 18:00:00,2016-07-28 19:00:00)","112.82"
"B","3","[2016-07-28 19:00:00,2016-07-28 20:00:00)","105.37"
"B","3","[2016-07-28 20:00:00,2016-07-28 21:00:00)","147.64"
"B","3","[2016-07-28 21:00:00,2016-07-28 22:00:00)","115.2"
"B","3","[2016-07-28 22:00:00,2016-07-28 23:00:00)","130.29"
"B","3","[2016-07-28 23:00:00,2016-07-29 00:00:00)","116.58"
"B","3","[2016-07-29 00:00:00,2016-07-29 01:00:00)","128.22"
"B","3","[2016-07-29 01:00:00,2016-07-29 02:00:00)","277.18"
"B","3","[2016-07-29 02:00:00,2016-07-29 03:00:00)","129.01"
"B","3","[2016-07-29 03:00:00,2016-07-29 04:00:00)","146.98"
"B","3","[2016-07-29 04:00:00,2016-07-29 05:00:00)","100.77"
"B","3","[2016-07-29 05:00:00,2016-07-29 06:00:00)","86.75"
"B","3","[2016-07-29 06:00:00,2016-07-29 07:00:00)","84.86"
"B","3","[2016-07-29 07:00:00,2016-07-29 08:00:00)","138.77"
"B","3","[2016-07-29 08:00:00,2016-07-29 09:00:00)","164.44"
"B","3","[2016-07-29 09:00:00,2016-07-29 10:00:00)","138.51"
"B","3","[2016-07-29 10:00:00,2016-07-29 11:00:00)","165.17"
"B","3","[2016-07-29 11:00:00,2016-07-29 12:00:00)","114.67"
"B","3","[2016-07-29 12:00:00,2016-07-29 13:00:00)","115.05"
"B","3","[2016-07-29 13:00:00,2016-07-29 14:00:00)","123.32"
"B","3","[2016-07-29 14:00:00,2016-07-29 15:00:00)","163.1"
"B","3","[2016-07-29 15:00:00,2016-07-29 16:00:00)","139.58"
"B","3","[2016-07-29 16:00:00,2016-07-29 17:00:00)","163.63"
"B","3","[2016-07-29 17:00:00,2016-07-29 18:00:00)","148.81"
"B","3","[2016-07-29 18:00:00,2016-07-29 19:00:00)","99.24"
"B","3","[2016-07-29 19:00:00,2016-07-29 20:00:00)","147.31"
"B","3","[2016-07-29 20:00:00,2016-07-29 21:00:00)","109.98"
"B","3","[2016-07-29 21:00:00,2016-07-29 22:00:00)","132.9"
"B","3","[2016-07-29 22:00:00,2016-07-29 23:00:00)","111.0"
"B","3","[2016-07-29 23:00:00,2016-07-30 00:00:00)","115.95"
"B","3","[2016-07-30 00:00:00,2016-07-30 01:00:00)","147.59"
"B","3","[2016-07-30 01:00:00,2016-07-30 02:00:00)","114.54"
"B","3","[2016-07-30 02:00:00,2016-07-30 03:00:00)","163.28"
"B","3","[2016-07-30 03:00:00,2016-07-30 04:00:00)","92.82"
"B","3","[2016-07-30 04:00:00,2016-07-30 05:00:00)","97.08"
"B","3","[2016-07-30 06:00:00,2016-07-30 07:00:00)","74.22"
"B","3","[2016-07-30 07:00:00,2016-07-30 08:00:00)","99.27"
"B","3","[2016-07-30 08:00:00,2016-07-30 09:00:00)","142.76"
"B","3","[2016-07-30 09:00:00,2016-07-30 10:00:00)","140.47"
"B","3","[2016-07-30 10:00:00,2016-07-30 11:00:00)","141.59"
"B","3","[2016-07-30 11:00:00,2016-07-30 12:00:00)","133.19"
"B","3","[2016-07-30 12:00:00,2016-07-30 13:00:00)","144.88"
"B","3","[2016-07-30 13:00:00,2016-07-30 14:00:00)","158.19"
"B","3","[2016-07-30 14:00:00,2016-07-30 15:00:00)","142.98"
"B","3","[2016-07-30 15:00:00,2016-07-30 16:00:00)","133.03"
"B","3","[2016-07-30 16:00:00,2016-07-30 17:00:00)","137.52"
"B","3","[2016-07-30 17:00:00,2016-07-30 18:00:00)","148.01"
"B","3","[2016-07-30 18:00:00,2016-07-30 19:00:00)","144.22"
"B","3","[2016-07-30 19:00:00,2016-07-30 20:00:00)","121.21"
"B","3","[2016-07-30 20:00:00,2016-07-30 21:00:00)","112.95"
"B","3","[2016-07-30 21:00:00,2016-07-30 22:00:00)","130.09"
"B","3","[2016-07-30 22:00:00,2016-07-30 23:00:00)","118.95"
"B","3","[2016-07-30 23:00:00,2016-07-31 00:00:00)","109.65"
"B","3","[2016-07-31 00:00:00,2016-07-31 01:00:00)","122.25"
"B","3","[2016-07-31 02:00:00,2016-07-31 03:00:00)","78.3"
"B","3","[2016-07-31 03:00:00,2016-07-31 04:00:00)","116.54"
"B","3","[2016-07-31 04:00:00,2016-07-31 05:00:00)","141.91"
"B","3","[2016-07-31 05:00:00,2016-07-31 06:00:00)","112.19"
"B","3","[2016-07-31 06:00:00,2016-07-31 07:00:00)","134.84"
"B","3","[2016-07-31 07:00:00,2016-07-31 08:00:00)","139.36"
"B","3","[2016-07-31 08:00:00,2016-07-31 09:00:00)","149.71"
"B","3","[2016-07-31 09:00:00,2016-07-31 10:00:00)","189.77"
"B","3","[2016-07-31 10:00:00,2016-07-31 11:00:00)","121.19"
"B","3","[2016-07-31 11:00:00,2016-07-31 12:00:00)","154.89"
"B","3","[2016-07-31 12:00:00,2016-07-31 13:00:00)","146.03"
"B","3","[2016-07-31 13:00:00,2016-07-31 14:00:00)","133.63"
"B","3","[2016-07-31 14:00:00,2016-07-31 15:00:00)","198.76"
"B","3","[2016-07-31 15:00:00,2016-07-31 16:00:00)","115.44"
"B","3","[2016-07-31 16:00:00,2016-07-31 17:00:00)","190.42"
"B","3","[2016-07-31 17:00:00,2016-07-31 18:00:00)","156.16"
"B","3","[2016-07-31 18:00:00,2016-07-31 19:00:00)","114.12"
"B","3","[2016-07-31 19:00:00,2016-07-31 20:00:00)","109.61"
"B","3","[2016-07-31 20:00:00,2016-07-31 21:00:00)","126.78"
"B","3","[2016-07-31 21:00:00,2016-07-31 22:00:00)","124.79"
"B","3","[2016-07-31 22:00:00,2016-07-31 23:00:00)","104.87"
"B","3","[2016-07-31 23:00:00,2016-08-01 00:00:00)","116.38"
"B","3","[2016-08-01 01:00:00,2016-08-01 02:00:00)","174.03"
"B","3","[2016-08-01 02:00:00,2016-08-01 03:00:00)","110.63"
"B","3","[2016-08-01 03:00:00,2016-08-01 04:00:00)","103.33"
"B","3","[2016-08-01 05:00:00,2016-08-01 06:00:00)","102.35"
"B","3","[2016-08-01 06:00:00,2016-08-01 07:00:00)","96.91"
"B","3","[2016-08-01 07:00:00,2016-08-01 08:00:00)","145.56"
"B","3","[2016-08-01 08:00:00,2016-08-01 09:00:00)","138.77"
"B","3","[2016-08-01 09:00:00,2016-08-01 10:00:00)","248.0"
"B","3","[2016-08-01 10:00:00,2016-08-01 11:00:00)","154.69"
"B","3","[2016-08-01 11:00:00,2016-08-01 12:00:00)","102.52"
"B","3","[2016-08-01 12:00:00,2016-08-01 13:00:00)","140.52"
"B","3","[2016-08-01 13:00:00,2016-08-01 14:00:00)","108.05"
"B","3","[2016-08-01 14:00:00,2016-08-01 15:00:00)","141.6"
"B","3","[2016-08-01 15:00:00,2016-08-01 16:00:00)","117.95"
"B","3","[2016-08-01 16:00:00,2016-08-01 17:00:00)","111.14"
"B","3","[2016-08-01 17:00:00,2016-08-01 18:00:00)","142.21"
"B","3","[2016-08-01 18:00:00,2016-08-01 19:00:00)","148.46"
"B","3","[2016-08-01 19:00:00,2016-08-01 20:00:00)","129.52"
"B","3","[2016-08-01 20:00:00,2016-08-01 21:00:00)","199.69"
"B","3","[2016-08-01 21:00:00,2016-08-01 22:00:00)","92.37"
"B","3","[2016-08-01 22:00:00,2016-08-01 23:00:00)","80.61"
"B","3","[2016-08-01 23:00:00,2016-08-02 00:00:00)","109.99"
"B","3","[2016-08-02 00:00:00,2016-08-02 01:00:00)","49.68"
"B","3","[2016-08-02 02:00:00,2016-08-02 03:00:00)","101.85"
"B","3","[2016-08-02 03:00:00,2016-08-02 04:00:00)","94.99"
"B","3","[2016-08-02 05:00:00,2016-08-02 06:00:00)","88.21"
"B","3","[2016-08-02 06:00:00,2016-08-02 07:00:00)","66.81"
"B","3","[2016-08-02 07:00:00,2016-08-02 08:00:00)","111.79"
"B","3","[2016-08-02 08:00:00,2016-08-02 09:00:00)","221.84"
"B","3","[2016-08-02 09:00:00,2016-08-02 10:00:00)","169.18"
"B","3","[2016-08-02 10:00:00,2016-08-02 11:00:00)","138.58"
"B","3","[2016-08-02 11:00:00,2016-08-02 12:00:00)","112.05"
"B","3","[2016-08-02 12:00:00,2016-08-02 13:00:00)","117.91"
"B","3","[2016-08-02 13:00:00,2016-08-02 14:00:00)","136.57"
"B","3","[2016-08-02 14:00:00,2016-08-02 15:00:00)","142.04"
"B","3","[2016-08-02 15:00:00,2016-08-02 16:00:00)","136.16"
"B","3","[2016-08-02 16:00:00,2016-08-02 17:00:00)","121.99"
"B","3","[2016-08-02 17:00:00,2016-08-02 18:00:00)","104.97"
"B","3","[2016-08-02 18:00:00,2016-08-02 19:00:00)","105.46"
"B","3","[2016-08-02 19:00:00,2016-08-02 20:00:00)","101.16"
"B","3","[2016-08-02 20:00:00,2016-08-02 21:00:00)","107.94"
"B","3","[2016-08-02 21:00:00,2016-08-02 22:00:00)","98.77"
"B","3","[2016-08-02 22:00:00,2016-08-02 23:00:00)","158.43"
"B","3","[2016-08-02 23:00:00,2016-08-03 00:00:00)","126.98"
"B","3","[2016-08-03 00:00:00,2016-08-03 01:00:00)","104.19"
"B","3","[2016-08-03 01:00:00,2016-08-03 02:00:00)","103.31"
"B","3","[2016-08-03 05:00:00,2016-08-03 06:00:00)","159.76"
"B","3","[2016-08-03 06:00:00,2016-08-03 07:00:00)","131.39"
"B","3","[2016-08-03 07:00:00,2016-08-03 08:00:00)","126.5"
"B","3","[2016-08-03 08:00:00,2016-08-03 09:00:00)","164.64"
"B","3","[2016-08-03 09:00:00,2016-08-03 10:00:00)","148.93"
"B","3","[2016-08-03 10:00:00,2016-08-03 11:00:00)","122.94"
"B","3","[2016-08-03 11:00:00,2016-08-03 12:00:00)","101.8"
"B","3","[2016-08-03 12:00:00,2016-08-03 13:00:00)","122.52"
"B","3","[2016-08-03 13:00:00,2016-08-03 14:00:00)","119.61"
"B","3","[2016-08-03 14:00:00,2016-08-03 15:00:00)","125.97"
"B","3","[2016-08-03 15:00:00,2016-08-03 16:00:00)","172.99"
"B","3","[2016-08-03 16:00:00,2016-08-03 17:00:00)","157.02"
"B","3","[2016-08-03 17:00:00,2016-08-03 18:00:00)","155.96"
"B","3","[2016-08-03 18:00:00,2016-08-03 19:00:00)","137.0"
"B","3","[2016-08-03 19:00:00,2016-08-03 20:00:00)","132.22"
"B","3","[2016-08-03 20:00:00,2016-08-03 21:00:00)","99.52"
"B","3","[2016-08-03 21:00:00,2016-08-03 22:00:00)","121.69"
"B","3","[2016-08-03 22:00:00,2016-08-03 23:00:00)","92.16"
"B","3","[2016-08-03 23:00:00,2016-08-04 00:00:00)","95.18"
"B","3","[2016-08-04 00:00:00,2016-08-04 01:00:00)","147.54"
"B","3","[2016-08-04 03:00:00,2016-08-04 04:00:00)","160.45"
"B","3","[2016-08-04 05:00:00,2016-08-04 06:00:00)","106.37"
"B","3","[2016-08-04 06:00:00,2016-08-04 07:00:00)","82.71"
"B","3","[2016-08-04 07:00:00,2016-08-04 08:00:00)","141.56"
