"tollgate_id","time_window","direction","volume"
"1","[2016-09-19 13:00:00,2016-09-19 14:00:00)","0","171"
"1","[2016-09-19 13:00:00,2016-09-19 14:00:00)","1","314"
"2","[2016-09-19 13:00:00,2016-09-19 14:00:00)","0","243"
"3","[2016-09-19 14:00:00,2016-09-19 15:00:00)","0","291"
"3","[2016-09-19 14:00:00,2016-09-19 15:00:00)","1","287"
"2","[2016-09-19 14:00:00,2016-09-19 15:00:00)","0","207"
"1","[2016-09-19 14:00:00,2016-09-19 15:00:00)","0","159"
"1","[2016-09-19 14:00:00,2016-09-19 15:00:00)","1","302"
"1","[2016-09-19 15:00:00,2016-09-19 16:00:00)","0","148"
"1","[2016-09-19 15:00:00,2016-09-19 16:00:00)","1","273"
"2","[2016-09-19 15:00:00,2016-09-19 16:00:00)","0","218"
"3","[2016-09-19 15:00:00,2016-09-19 16:00:00)","0","341"
"3","[2016-09-19 15:00:00,2016-09-19 16:00:00)","1","253"
"2","[2016-09-19 16:00:00,2016-09-19 17:00:00)","0","261"
"1","[2016-09-19 16:00:00,2016-09-19 17:00:00)","0","143"
"1","[2016-09-19 16:00:00,2016-09-19 17:00:00)","1","348"
"3","[2016-09-19 16:00:00,2016-09-19 17:00:00)","0","350"
"3","[2016-09-19 16:00:00,2016-09-19 17:00:00)","1","306"
"1","[2016-09-19 17:00:00,2016-09-19 18:00:00)","0","94"
"1","[2016-09-19 17:00:00,2016-09-19 18:00:00)","1","324"
"2","[2016-09-19 17:00:00,2016-09-19 18:00:00)","0","210"
"3","[2016-09-19 17:00:00,2016-09-19 18:00:00)","0","323"
"3","[2016-09-19 17:00:00,2016-09-19 18:00:00)","1","262"
"3","[2016-09-19 18:00:00,2016-09-19 19:00:00)","0","211"
"3","[2016-09-19 18:00:00,2016-09-19 19:00:00)","1","228"
"2","[2016-09-19 18:00:00,2016-09-19 19:00:00)","0","154"
"1","[2016-09-19 18:00:00,2016-09-19 19:00:00)","0","74"
"1","[2016-09-19 18:00:00,2016-09-19 19:00:00)","1","226"
"3","[2016-09-19 19:00:00,2016-09-19 20:00:00)","0","162"
"3","[2016-09-19 19:00:00,2016-09-19 20:00:00)","1","135"
"2","[2016-09-19 19:00:00,2016-09-19 20:00:00)","0","134"
"1","[2016-09-19 19:00:00,2016-09-19 20:00:00)","0","62"
"1","[2016-09-19 19:00:00,2016-09-19 20:00:00)","1","147"
"3","[2016-09-19 20:00:00,2016-09-19 21:00:00)","0","125"
"3","[2016-09-19 20:00:00,2016-09-19 21:00:00)","1","114"
"1","[2016-09-19 20:00:00,2016-09-19 21:00:00)","0","50"
"1","[2016-09-19 20:00:00,2016-09-19 21:00:00)","1","121"
"2","[2016-09-19 20:00:00,2016-09-19 21:00:00)","0","112"
"1","[2016-09-19 21:00:00,2016-09-19 22:00:00)","0","44"
"1","[2016-09-19 21:00:00,2016-09-19 22:00:00)","1","89"
"3","[2016-09-19 21:00:00,2016-09-19 22:00:00)","0","96"
"3","[2016-09-19 21:00:00,2016-09-19 22:00:00)","1","100"
"2","[2016-09-19 21:00:00,2016-09-19 22:00:00)","0","73"
"2","[2016-09-19 22:00:00,2016-09-19 23:00:00)","0","57"
"3","[2016-09-19 22:00:00,2016-09-19 23:00:00)","0","58"
"3","[2016-09-19 22:00:00,2016-09-19 23:00:00)","1","50"
"1","[2016-09-19 22:00:00,2016-09-19 23:00:00)","0","16"
"1","[2016-09-19 22:00:00,2016-09-19 23:00:00)","1","68"
"2","[2016-09-19 23:00:00,2016-09-20 00:00:00)","0","34"
"1","[2016-09-19 23:00:00,2016-09-20 00:00:00)","0","14"
"1","[2016-09-19 23:00:00,2016-09-20 00:00:00)","1","39"
"3","[2016-09-19 23:00:00,2016-09-20 00:00:00)","0","39"
"3","[2016-09-19 23:00:00,2016-09-20 00:00:00)","1","34"
"1","[2016-09-20 00:00:00,2016-09-20 01:00:00)","0","34"
"1","[2016-09-20 00:00:00,2016-09-20 01:00:00)","1","256"
"3","[2016-09-20 00:00:00,2016-09-20 01:00:00)","0","47"
"3","[2016-09-20 00:00:00,2016-09-20 01:00:00)","1","471"
"2","[2016-09-20 00:00:00,2016-09-20 01:00:00)","0","4"
"1","[2016-09-20 01:00:00,2016-09-20 02:00:00)","0","16"
"1","[2016-09-20 01:00:00,2016-09-20 02:00:00)","1","25"
"3","[2016-09-20 01:00:00,2016-09-20 02:00:00)","0","47"
"3","[2016-09-20 01:00:00,2016-09-20 02:00:00)","1","24"
"2","[2016-09-20 01:00:00,2016-09-20 02:00:00)","0","1"
"1","[2016-09-20 02:00:00,2016-09-20 03:00:00)","0","22"
"1","[2016-09-20 02:00:00,2016-09-20 03:00:00)","1","28"
"3","[2016-09-20 02:00:00,2016-09-20 03:00:00)","0","42"
"3","[2016-09-20 02:00:00,2016-09-20 03:00:00)","1","16"
"1","[2016-09-20 03:00:00,2016-09-20 04:00:00)","0","23"
"1","[2016-09-20 03:00:00,2016-09-20 04:00:00)","1","33"
"3","[2016-09-20 03:00:00,2016-09-20 04:00:00)","0","26"
"3","[2016-09-20 03:00:00,2016-09-20 04:00:00)","1","15"
"1","[2016-09-20 04:00:00,2016-09-20 05:00:00)","0","34"
"1","[2016-09-20 04:00:00,2016-09-20 05:00:00)","1","57"
"3","[2016-09-20 04:00:00,2016-09-20 05:00:00)","0","30"
"3","[2016-09-20 04:00:00,2016-09-20 05:00:00)","1","16"
"3","[2016-09-20 05:00:00,2016-09-20 06:00:00)","0","49"
"3","[2016-09-20 05:00:00,2016-09-20 06:00:00)","1","42"
"1","[2016-09-20 05:00:00,2016-09-20 06:00:00)","0","23"
"1","[2016-09-20 05:00:00,2016-09-20 06:00:00)","1","99"
"2","[2016-09-20 05:00:00,2016-09-20 06:00:00)","0","44"
"3","[2016-09-20 06:00:00,2016-09-20 07:00:00)","0","154"
"3","[2016-09-20 06:00:00,2016-09-20 07:00:00)","1","133"
"2","[2016-09-20 06:00:00,2016-09-20 07:00:00)","0","118"
"1","[2016-09-20 06:00:00,2016-09-20 07:00:00)","0","62"
"1","[2016-09-20 06:00:00,2016-09-20 07:00:00)","1","175"
"2","[2016-09-20 07:00:00,2016-09-20 08:00:00)","0","258"
"3","[2016-09-20 07:00:00,2016-09-20 08:00:00)","0","390"
"3","[2016-09-20 07:00:00,2016-09-20 08:00:00)","1","302"
"1","[2016-09-20 07:00:00,2016-09-20 08:00:00)","0","99"
"1","[2016-09-20 07:00:00,2016-09-20 08:00:00)","1","353"
"3","[2016-09-20 08:00:00,2016-09-20 09:00:00)","0","472"
"3","[2016-09-20 08:00:00,2016-09-20 09:00:00)","1","573"
"2","[2016-09-20 08:00:00,2016-09-20 09:00:00)","0","335"
"1","[2016-09-20 08:00:00,2016-09-20 09:00:00)","0","148"
"1","[2016-09-20 08:00:00,2016-09-20 09:00:00)","1","414"
"3","[2016-09-20 09:00:00,2016-09-20 10:00:00)","0","430"
"3","[2016-09-20 09:00:00,2016-09-20 10:00:00)","1","587"
"2","[2016-09-20 09:00:00,2016-09-20 10:00:00)","0","291"
"1","[2016-09-20 09:00:00,2016-09-20 10:00:00)","0","178"
"1","[2016-09-20 09:00:00,2016-09-20 10:00:00)","1","465"
"3","[2016-09-20 10:00:00,2016-09-20 11:00:00)","0","374"
"3","[2016-09-20 10:00:00,2016-09-20 11:00:00)","1","255"
"2","[2016-09-20 10:00:00,2016-09-20 11:00:00)","0","241"
"1","[2016-09-20 10:00:00,2016-09-20 11:00:00)","0","179"
"1","[2016-09-20 10:00:00,2016-09-20 11:00:00)","1","280"
"2","[2016-09-20 11:00:00,2016-09-20 12:00:00)","0","164"
"3","[2016-09-20 11:00:00,2016-09-20 12:00:00)","0","333"
"3","[2016-09-20 11:00:00,2016-09-20 12:00:00)","1","244"
"1","[2016-09-20 11:00:00,2016-09-20 12:00:00)","0","171"
"1","[2016-09-20 11:00:00,2016-09-20 12:00:00)","1","275"
"1","[2016-09-20 12:00:00,2016-09-20 13:00:00)","0","190"
"1","[2016-09-20 12:00:00,2016-09-20 13:00:00)","1","238"
"3","[2016-09-20 12:00:00,2016-09-20 13:00:00)","0","356"
"3","[2016-09-20 12:00:00,2016-09-20 13:00:00)","1","279"
"2","[2016-09-20 12:00:00,2016-09-20 13:00:00)","0","241"
"2","[2016-09-20 13:00:00,2016-09-20 14:00:00)","0","240"
"3","[2016-09-20 13:00:00,2016-09-20 14:00:00)","0","409"
"3","[2016-09-20 13:00:00,2016-09-20 14:00:00)","1","281"
"1","[2016-09-20 13:00:00,2016-09-20 14:00:00)","0","264"
"1","[2016-09-20 13:00:00,2016-09-20 14:00:00)","1","297"
"2","[2016-09-20 14:00:00,2016-09-20 15:00:00)","0","223"
"1","[2016-09-20 14:00:00,2016-09-20 15:00:00)","0","238"
"1","[2016-09-20 14:00:00,2016-09-20 15:00:00)","1","298"
"3","[2016-09-20 14:00:00,2016-09-20 15:00:00)","0","394"
"3","[2016-09-20 14:00:00,2016-09-20 15:00:00)","1","269"
"2","[2016-09-20 15:00:00,2016-09-20 16:00:00)","0","200"
"1","[2016-09-20 15:00:00,2016-09-20 16:00:00)","0","208"
"1","[2016-09-20 15:00:00,2016-09-20 16:00:00)","1","228"
"3","[2016-09-20 15:00:00,2016-09-20 16:00:00)","0","387"
"3","[2016-09-20 15:00:00,2016-09-20 16:00:00)","1","240"
"1","[2016-09-20 16:00:00,2016-09-20 17:00:00)","0","153"
"1","[2016-09-20 16:00:00,2016-09-20 17:00:00)","1","286"
"3","[2016-09-20 16:00:00,2016-09-20 17:00:00)","0","357"
"3","[2016-09-20 16:00:00,2016-09-20 17:00:00)","1","278"
"2","[2016-09-20 16:00:00,2016-09-20 17:00:00)","0","222"
"3","[2016-09-20 17:00:00,2016-09-20 18:00:00)","0","337"
"3","[2016-09-20 17:00:00,2016-09-20 18:00:00)","1","276"
"2","[2016-09-20 17:00:00,2016-09-20 18:00:00)","0","253"
"1","[2016-09-20 17:00:00,2016-09-20 18:00:00)","0","118"
"1","[2016-09-20 17:00:00,2016-09-20 18:00:00)","1","354"
"3","[2016-09-20 18:00:00,2016-09-20 19:00:00)","0","244"
"3","[2016-09-20 18:00:00,2016-09-20 19:00:00)","1","262"
"2","[2016-09-20 18:00:00,2016-09-20 19:00:00)","0","193"
"1","[2016-09-20 18:00:00,2016-09-20 19:00:00)","0","75"
"1","[2016-09-20 18:00:00,2016-09-20 19:00:00)","1","191"
"2","[2016-09-20 19:00:00,2016-09-20 20:00:00)","0","128"
"3","[2016-09-20 19:00:00,2016-09-20 20:00:00)","0","159"
"3","[2016-09-20 19:00:00,2016-09-20 20:00:00)","1","155"
"1","[2016-09-20 19:00:00,2016-09-20 20:00:00)","0","67"
"1","[2016-09-20 19:00:00,2016-09-20 20:00:00)","1","145"
"3","[2016-09-20 20:00:00,2016-09-20 21:00:00)","0","162"
"3","[2016-09-20 20:00:00,2016-09-20 21:00:00)","1","159"
"2","[2016-09-20 20:00:00,2016-09-20 21:00:00)","0","96"
"1","[2016-09-20 20:00:00,2016-09-20 21:00:00)","0","44"
"1","[2016-09-20 20:00:00,2016-09-20 21:00:00)","1","113"
"1","[2016-09-20 21:00:00,2016-09-20 22:00:00)","0","83"
"1","[2016-09-20 21:00:00,2016-09-20 22:00:00)","1","122"
"3","[2016-09-20 21:00:00,2016-09-20 22:00:00)","0","117"
"3","[2016-09-20 21:00:00,2016-09-20 22:00:00)","1","111"
"2","[2016-09-20 21:00:00,2016-09-20 22:00:00)","0","53"
"1","[2016-09-20 22:00:00,2016-09-20 23:00:00)","0","66"
"1","[2016-09-20 22:00:00,2016-09-20 23:00:00)","1","86"
"3","[2016-09-20 22:00:00,2016-09-20 23:00:00)","0","78"
"3","[2016-09-20 22:00:00,2016-09-20 23:00:00)","1","90"
"2","[2016-09-20 22:00:00,2016-09-20 23:00:00)","0","11"
"3","[2016-09-20 23:00:00,2016-09-21 00:00:00)","0","63"
"3","[2016-09-20 23:00:00,2016-09-21 00:00:00)","1","43"
"1","[2016-09-20 23:00:00,2016-09-21 00:00:00)","0","38"
"1","[2016-09-20 23:00:00,2016-09-21 00:00:00)","1","48"
"2","[2016-09-20 23:00:00,2016-09-21 00:00:00)","0","17"
"3","[2016-09-21 00:00:00,2016-09-21 01:00:00)","0","49"
"3","[2016-09-21 00:00:00,2016-09-21 01:00:00)","1","294"
"1","[2016-09-21 00:00:00,2016-09-21 01:00:00)","0","25"
"1","[2016-09-21 00:00:00,2016-09-21 01:00:00)","1","202"
"2","[2016-09-21 00:00:00,2016-09-21 01:00:00)","0","6"
"3","[2016-09-21 01:00:00,2016-09-21 02:00:00)","0","50"
"3","[2016-09-21 01:00:00,2016-09-21 02:00:00)","1","19"
"1","[2016-09-21 01:00:00,2016-09-21 02:00:00)","0","17"
"1","[2016-09-21 01:00:00,2016-09-21 02:00:00)","1","30"
"2","[2016-09-21 01:00:00,2016-09-21 02:00:00)","0","2"
"3","[2016-09-21 02:00:00,2016-09-21 03:00:00)","0","34"
"3","[2016-09-21 02:00:00,2016-09-21 03:00:00)","1","17"
"1","[2016-09-21 02:00:00,2016-09-21 03:00:00)","0","22"
"1","[2016-09-21 02:00:00,2016-09-21 03:00:00)","1","27"
"3","[2016-09-21 03:00:00,2016-09-21 04:00:00)","0","35"
"3","[2016-09-21 03:00:00,2016-09-21 04:00:00)","1","13"
"1","[2016-09-21 03:00:00,2016-09-21 04:00:00)","0","21"
"1","[2016-09-21 03:00:00,2016-09-21 04:00:00)","1","46"
"3","[2016-09-21 04:00:00,2016-09-21 05:00:00)","0","41"
"3","[2016-09-21 04:00:00,2016-09-21 05:00:00)","1","11"
"1","[2016-09-21 04:00:00,2016-09-21 05:00:00)","0","41"
"1","[2016-09-21 04:00:00,2016-09-21 05:00:00)","1","54"
"1","[2016-09-21 05:00:00,2016-09-21 06:00:00)","0","52"
"1","[2016-09-21 05:00:00,2016-09-21 06:00:00)","1","89"
"3","[2016-09-21 05:00:00,2016-09-21 06:00:00)","0","57"
"3","[2016-09-21 05:00:00,2016-09-21 06:00:00)","1","28"
"2","[2016-09-21 05:00:00,2016-09-21 06:00:00)","0","12"
"3","[2016-09-21 06:00:00,2016-09-21 07:00:00)","0","164"
"3","[2016-09-21 06:00:00,2016-09-21 07:00:00)","1","99"
"1","[2016-09-21 06:00:00,2016-09-21 07:00:00)","0","152"
"1","[2016-09-21 06:00:00,2016-09-21 07:00:00)","1","157"
"2","[2016-09-21 06:00:00,2016-09-21 07:00:00)","0","29"
"3","[2016-09-21 07:00:00,2016-09-21 08:00:00)","0","400"
"3","[2016-09-21 07:00:00,2016-09-21 08:00:00)","1","247"
"2","[2016-09-21 07:00:00,2016-09-21 08:00:00)","0","123"
"1","[2016-09-21 07:00:00,2016-09-21 08:00:00)","0","257"
"1","[2016-09-21 07:00:00,2016-09-21 08:00:00)","1","270"
"3","[2016-09-21 08:00:00,2016-09-21 09:00:00)","0","418"
"3","[2016-09-21 08:00:00,2016-09-21 09:00:00)","1","397"
"2","[2016-09-21 08:00:00,2016-09-21 09:00:00)","0","133"
"1","[2016-09-21 08:00:00,2016-09-21 09:00:00)","0","325"
"1","[2016-09-21 08:00:00,2016-09-21 09:00:00)","1","324"
"1","[2016-09-21 09:00:00,2016-09-21 10:00:00)","0","157"
"1","[2016-09-21 09:00:00,2016-09-21 10:00:00)","1","391"
"2","[2016-09-21 09:00:00,2016-09-21 10:00:00)","0","284"
"3","[2016-09-21 09:00:00,2016-09-21 10:00:00)","0","389"
"3","[2016-09-21 09:00:00,2016-09-21 10:00:00)","1","292"
"2","[2016-09-21 10:00:00,2016-09-21 11:00:00)","0","213"
"3","[2016-09-21 10:00:00,2016-09-21 11:00:00)","0","347"
"3","[2016-09-21 10:00:00,2016-09-21 11:00:00)","1","238"
"1","[2016-09-21 10:00:00,2016-09-21 11:00:00)","0","130"
"1","[2016-09-21 10:00:00,2016-09-21 11:00:00)","1","283"
"3","[2016-09-21 11:00:00,2016-09-21 12:00:00)","0","274"
"3","[2016-09-21 11:00:00,2016-09-21 12:00:00)","1","224"
"2","[2016-09-21 11:00:00,2016-09-21 12:00:00)","0","153"
"1","[2016-09-21 11:00:00,2016-09-21 12:00:00)","0","91"
"1","[2016-09-21 11:00:00,2016-09-21 12:00:00)","1","234"
"1","[2016-09-21 12:00:00,2016-09-21 13:00:00)","0","125"
"1","[2016-09-21 12:00:00,2016-09-21 13:00:00)","1","270"
"3","[2016-09-21 12:00:00,2016-09-21 13:00:00)","0","257"
"3","[2016-09-21 12:00:00,2016-09-21 13:00:00)","1","275"
"2","[2016-09-21 12:00:00,2016-09-21 13:00:00)","0","160"
"2","[2016-09-21 13:00:00,2016-09-21 14:00:00)","0","216"
"3","[2016-09-21 13:00:00,2016-09-21 14:00:00)","0","307"
"3","[2016-09-21 13:00:00,2016-09-21 14:00:00)","1","307"
"1","[2016-09-21 13:00:00,2016-09-21 14:00:00)","0","136"
"1","[2016-09-21 13:00:00,2016-09-21 14:00:00)","1","279"
"3","[2016-09-21 14:00:00,2016-09-21 15:00:00)","0","303"
"3","[2016-09-21 14:00:00,2016-09-21 15:00:00)","1","272"
"1","[2016-09-21 14:00:00,2016-09-21 15:00:00)","0","150"
"1","[2016-09-21 14:00:00,2016-09-21 15:00:00)","1","300"
"2","[2016-09-21 14:00:00,2016-09-21 15:00:00)","0","223"
"1","[2016-09-21 15:00:00,2016-09-21 16:00:00)","0","143"
"1","[2016-09-21 15:00:00,2016-09-21 16:00:00)","1","284"
"3","[2016-09-21 15:00:00,2016-09-21 16:00:00)","0","316"
"3","[2016-09-21 15:00:00,2016-09-21 16:00:00)","1","305"
"2","[2016-09-21 15:00:00,2016-09-21 16:00:00)","0","221"
"3","[2016-09-21 16:00:00,2016-09-21 17:00:00)","0","351"
"3","[2016-09-21 16:00:00,2016-09-21 17:00:00)","1","275"
"2","[2016-09-21 16:00:00,2016-09-21 17:00:00)","0","246"
"1","[2016-09-21 16:00:00,2016-09-21 17:00:00)","0","137"
"1","[2016-09-21 16:00:00,2016-09-21 17:00:00)","1","300"
"3","[2016-09-21 17:00:00,2016-09-21 18:00:00)","0","334"
"3","[2016-09-21 17:00:00,2016-09-21 18:00:00)","1","266"
"2","[2016-09-21 17:00:00,2016-09-21 18:00:00)","0","248"
"1","[2016-09-21 17:00:00,2016-09-21 18:00:00)","0","102"
"1","[2016-09-21 17:00:00,2016-09-21 18:00:00)","1","297"
"2","[2016-09-21 18:00:00,2016-09-21 19:00:00)","0","179"
"3","[2016-09-21 18:00:00,2016-09-21 19:00:00)","0","214"
"3","[2016-09-21 18:00:00,2016-09-21 19:00:00)","1","210"
"1","[2016-09-21 18:00:00,2016-09-21 19:00:00)","0","64"
"1","[2016-09-21 18:00:00,2016-09-21 19:00:00)","1","237"
"2","[2016-09-21 19:00:00,2016-09-21 20:00:00)","0","120"
"3","[2016-09-21 19:00:00,2016-09-21 20:00:00)","0","177"
"3","[2016-09-21 19:00:00,2016-09-21 20:00:00)","1","151"
"1","[2016-09-21 19:00:00,2016-09-21 20:00:00)","0","63"
"1","[2016-09-21 19:00:00,2016-09-21 20:00:00)","1","135"
"1","[2016-09-21 20:00:00,2016-09-21 21:00:00)","0","65"
"1","[2016-09-21 20:00:00,2016-09-21 21:00:00)","1","116"
"3","[2016-09-21 20:00:00,2016-09-21 21:00:00)","0","124"
"3","[2016-09-21 20:00:00,2016-09-21 21:00:00)","1","124"
"2","[2016-09-21 20:00:00,2016-09-21 21:00:00)","0","80"
"1","[2016-09-21 21:00:00,2016-09-21 22:00:00)","0","42"
"1","[2016-09-21 21:00:00,2016-09-21 22:00:00)","1","90"
"2","[2016-09-21 21:00:00,2016-09-21 22:00:00)","0","85"
"3","[2016-09-21 21:00:00,2016-09-21 22:00:00)","0","120"
"3","[2016-09-21 21:00:00,2016-09-21 22:00:00)","1","117"
"1","[2016-09-21 22:00:00,2016-09-21 23:00:00)","0","26"
"1","[2016-09-21 22:00:00,2016-09-21 23:00:00)","1","74"
"2","[2016-09-21 22:00:00,2016-09-21 23:00:00)","0","61"
"3","[2016-09-21 22:00:00,2016-09-21 23:00:00)","0","74"
"3","[2016-09-21 22:00:00,2016-09-21 23:00:00)","1","55"
"3","[2016-09-21 23:00:00,2016-09-22 00:00:00)","0","65"
"3","[2016-09-21 23:00:00,2016-09-22 00:00:00)","1","50"
"1","[2016-09-21 23:00:00,2016-09-22 00:00:00)","0","48"
"1","[2016-09-21 23:00:00,2016-09-22 00:00:00)","1","48"
"2","[2016-09-21 23:00:00,2016-09-22 00:00:00)","0","9"
"1","[2016-09-22 00:00:00,2016-09-22 01:00:00)","0","38"
"1","[2016-09-22 00:00:00,2016-09-22 01:00:00)","1","233"
"3","[2016-09-22 00:00:00,2016-09-22 01:00:00)","0","36"
"3","[2016-09-22 00:00:00,2016-09-22 01:00:00)","1","320"
"2","[2016-09-22 00:00:00,2016-09-22 01:00:00)","0","2"
"1","[2016-09-22 01:00:00,2016-09-22 02:00:00)","0","27"
"1","[2016-09-22 01:00:00,2016-09-22 02:00:00)","1","25"
"3","[2016-09-22 01:00:00,2016-09-22 02:00:00)","0","39"
"3","[2016-09-22 01:00:00,2016-09-22 02:00:00)","1","18"
"1","[2016-09-22 02:00:00,2016-09-22 03:00:00)","0","22"
"1","[2016-09-22 02:00:00,2016-09-22 03:00:00)","1","23"
"3","[2016-09-22 02:00:00,2016-09-22 03:00:00)","0","35"
"3","[2016-09-22 02:00:00,2016-09-22 03:00:00)","1","16"
"1","[2016-09-22 03:00:00,2016-09-22 04:00:00)","0","21"
"1","[2016-09-22 03:00:00,2016-09-22 04:00:00)","1","37"
"3","[2016-09-22 03:00:00,2016-09-22 04:00:00)","0","46"
"3","[2016-09-22 03:00:00,2016-09-22 04:00:00)","1","11"
"1","[2016-09-22 04:00:00,2016-09-22 05:00:00)","0","25"
"1","[2016-09-22 04:00:00,2016-09-22 05:00:00)","1","55"
"3","[2016-09-22 04:00:00,2016-09-22 05:00:00)","0","37"
"3","[2016-09-22 04:00:00,2016-09-22 05:00:00)","1","18"
"1","[2016-09-22 05:00:00,2016-09-22 06:00:00)","0","10"
"1","[2016-09-22 05:00:00,2016-09-22 06:00:00)","1","93"
"3","[2016-09-22 05:00:00,2016-09-22 06:00:00)","0","60"
"3","[2016-09-22 05:00:00,2016-09-22 06:00:00)","1","33"
"2","[2016-09-22 05:00:00,2016-09-22 06:00:00)","0","59"
"1","[2016-09-22 06:00:00,2016-09-22 07:00:00)","0","52"
"1","[2016-09-22 06:00:00,2016-09-22 07:00:00)","1","163"
"3","[2016-09-22 06:00:00,2016-09-22 07:00:00)","0","159"
"3","[2016-09-22 06:00:00,2016-09-22 07:00:00)","1","120"
"2","[2016-09-22 06:00:00,2016-09-22 07:00:00)","0","99"
"3","[2016-09-22 07:00:00,2016-09-22 08:00:00)","0","368"
"3","[2016-09-22 07:00:00,2016-09-22 08:00:00)","1","244"
"1","[2016-09-22 07:00:00,2016-09-22 08:00:00)","0","102"
"1","[2016-09-22 07:00:00,2016-09-22 08:00:00)","1","275"
"2","[2016-09-22 07:00:00,2016-09-22 08:00:00)","0","251"
